CustomerID,Gender,SeniorCitizen,TenureMonths,Contract,InternetService,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST100000,Male,0,57,Month-to-month,No,Credit card,96.84,5560.84,Yes
CUST100001,Female,0,72,Two year,No,Bank transfer,28.92,2123.15,No
CUST100002,Male,1,7,Two year,Fiber optic,Electronic check,41.12,308.37,Yes
CUST100003,Male,0,56,Month-to-month,No,Mailed check,70.21,3941.85,No
CUST100004,Male,1,67,Month-to-month,Fiber optic,Bank transfer,22.0,1498.91,No
CUST100005,Female,0,16,Month-to-month,Fiber optic,Bank transfer,45.29,761.91,Yes
CUST100006,Male,0,51,Two year,DSL,Electronic check,71.74,3639.14,Yes
CUST100007,Male,1,72,Month-to-month,Fiber optic,Bank transfer,21.5,1597.44,No
CUST100008,Male,0,12,Month-to-month,DSL,Credit card,46.45,550.2,No
CUST100009,Female,0,53,Month-to-month,Fiber optic,Mailed check,71.4,3797.12,No
CUST100010,Male,0,5,Month-to-month,DSL,Electronic check,77.31,427.59,No
CUST100011,Male,1,27,Month-to-month,No,Credit card,112.58,3035.41,No
CUST100012,Male,1,12,One year,DSL,Electronic check,84.53,1027.74,No
CUST100013,Male,0,17,Month-to-month,DSL,Credit card,61.47,1034.27,No
CUST100014,Female,0,6,One year,Fiber optic,Mailed check,113.04,685.9,No
CUST100015,Male,1,5,Month-to-month,DSL,Mailed check,98.49,484.85,No
CUST100016,Female,0,57,Month-to-month,DSL,Credit card,40.0,2285.45,Yes
CUST100017,Female,0,28,Two year,DSL,Credit card,33.08,932.38,No
CUST100018,Female,1,69,Month-to-month,Fiber optic,Credit card,87.58,6092.54,Yes
CUST100019,Male,0,59,One year,Fiber optic,Credit card,75.99,4533.05,No
CUST100020,Female,0,33,Month-to-month,Fiber optic,Credit card,98.97,3254.05,Yes
CUST100021,Male,0,62,Month-to-month,Fiber optic,Credit card,93.88,5851.38,Yes
CUST100022,Female,1,50,Two year,Fiber optic,Mailed check,82.52,4109.62,Yes
CUST100023,Female,1,19,Month-to-month,DSL,Credit card,118.64,2236.27,Yes
CUST100024,Female,1,69,Two year,DSL,Bank transfer,73.36,5049.21,Yes
CUST100025,Female,0,66,Month-to-month,Fiber optic,Mailed check,31.31,2114.04,No
CUST100026,Female,1,47,Two year,DSL,Electronic check,102.83,4878.87,Yes
CUST100027,Female,1,39,Month-to-month,DSL,Mailed check,45.19,1755.98,Yes
CUST100028,Female,0,68,Month-to-month,Fiber optic,Electronic check,97.73,6636.96,Yes
CUST100029,Female,1,33,One year,Fiber optic,Electronic check,115.71,3815.27,No
CUST100030,Male,0,13,Two year,DSL,Bank transfer,89.68,1181.93,Yes
CUST100031,Male,0,54,Two year,DSL,Credit card,79.6,4318.28,Yes
CUST100032,Female,0,7,One year,No,Credit card,66.04,457.79,No
CUST100033,Female,0,14,Two year,No,Mailed check,56.44,823.12,No
CUST100034,Female,0,19,Month-to-month,Fiber optic,Credit card,55.3,1052.37,Yes
CUST100035,Male,0,54,Month-to-month,Fiber optic,Bank transfer,83.64,4561.11,Yes
CUST100036,Female,0,20,Month-to-month,Fiber optic,Mailed check,95.13,1928.57,Yes
CUST100037,Male,0,29,Month-to-month,No,Mailed check,87.85,2558.19,No
CUST100038,Male,0,24,Month-to-month,No,Mailed check,39.84,991.45,Yes
CUST100039,Male,0,63,Month-to-month,DSL,Credit card,69.4,4409.45,No
CUST100040,Male,0,57,Month-to-month,Fiber optic,Credit card,99.16,5652.45,Yes
CUST100041,Male,0,8,One year,DSL,Credit card,67.57,544.34,No
CUST100042,Female,0,62,Month-to-month,DSL,Mailed check,73.66,4612.44,Yes
CUST100043,Female,0,29,Month-to-month,Fiber optic,Mailed check,97.11,2807.72,Yes
CUST100044,Female,1,17,Month-to-month,Fiber optic,Electronic check,86.13,1447.16,Yes
CUST100045,Female,0,66,One year,No,Electronic check,60.93,4033.16,Yes
CUST100046,Female,0,6,One year,DSL,Credit card,109.54,693.32,Yes
CUST100047,Male,0,58,One year,Fiber optic,Mailed check,36.26,2137.1,No
CUST100048,Female,1,69,Month-to-month,No,Credit card,119.55,8293.32,No
CUST100049,Female,0,28,Month-to-month,No,Credit card,31.89,910.24,Yes
CUST100050,Male,1,62,Month-to-month,DSL,Electronic check,21.49,1319.38,No
CUST100051,Female,0,41,Month-to-month,Fiber optic,Bank transfer,109.0,4490.21,No
CUST100052,Male,1,69,Month-to-month,Fiber optic,Credit card,44.5,3104.99,No
CUST100053,Female,0,41,Month-to-month,DSL,Bank transfer,92.97,3798.3,Yes
CUST100054,Male,1,49,Month-to-month,No,Bank transfer,101.1,4945.99,No
CUST100055,Female,0,49,Two year,No,Mailed check,105.9,5169.96,Yes
CUST100056,Female,0,71,Two year,DSL,Mailed check,119.16,8481.92,No
CUST100057,Male,0,3,Month-to-month,DSL,Credit card,49.4,190.27,Yes
CUST100058,Male,0,10,Month-to-month,DSL,Electronic check,91.02,937.15,Yes
CUST100059,Male,0,35,Month-to-month,No,Electronic check,31.54,1152.64,Yes
CUST100060,Male,1,2,Month-to-month,DSL,Credit card,60.68,105.77,Yes
CUST100061,Male,1,24,Two year,Fiber optic,Credit card,104.8,2558.41,No
CUST100062,Male,0,38,Month-to-month,Fiber optic,Electronic check,56.77,2194.24,Yes
CUST100063,Male,0,22,One year,Fiber optic,Bank transfer,79.11,1742.42,No
CUST100064,Male,0,26,Month-to-month,DSL,Credit card,70.38,1878.03,Yes
CUST100065,Female,0,43,Two year,DSL,Bank transfer,84.6,3637.96,Yes
CUST100066,Female,0,55,Month-to-month,No,Credit card,117.29,6493.2,No
CUST100067,Male,0,39,One year,No,Credit card,25.57,1038.88,No
CUST100068,Female,0,29,Month-to-month,Fiber optic,Bank transfer,77.4,2277.64,Yes
CUST100069,Female,0,20,One year,DSL,Bank transfer,106.3,2145.44,Yes
CUST100070,Female,0,41,Month-to-month,DSL,Electronic check,68.14,2782.14,No
CUST100071,Female,0,54,Month-to-month,Fiber optic,Credit card,27.85,1521.14,Yes
CUST100072,Male,0,20,Two year,DSL,Mailed check,76.05,1525.98,No
CUST100073,Female,0,19,Two year,No,Mailed check,53.21,1046.45,No
CUST100074,Male,1,66,Two year,Fiber optic,Credit card,35.49,2375.41,Yes
CUST100075,Female,0,30,One year,DSL,Credit card,104.9,3190.74,Yes
CUST100076,Female,0,53,One year,No,Credit card,72.16,3805.52,Yes
CUST100077,Female,0,34,Month-to-month,No,Bank transfer,113.33,3889.86,Yes
CUST100078,Male,0,22,Month-to-month,DSL,Mailed check,100.6,2258.89,No
CUST100079,Female,1,67,Month-to-month,Fiber optic,Mailed check,89.3,6018.35,No
CUST100080,Male,0,6,One year,DSL,Mailed check,20.5,112.11,No
CUST100081,Female,0,27,Month-to-month,Fiber optic,Credit card,62.78,1680.75,No
CUST100082,Male,0,10,Month-to-month,DSL,Bank transfer,39.75,378.96,Yes
CUST100083,Female,1,48,Month-to-month,Fiber optic,Credit card,111.08,5355.85,No
CUST100084,Male,1,70,One year,No,Electronic check,37.46,2646.28,No
CUST100085,Male,0,59,Month-to-month,Fiber optic,Electronic check,48.61,2917.07,No
CUST100086,Female,0,59,Month-to-month,DSL,Mailed check,71.68,4236.98,Yes
CUST100087,Male,0,2,Month-to-month,Fiber optic,Credit card,46.34,95.91,No
CUST100088,Female,1,29,Month-to-month,DSL,Electronic check,40.99,1212.42,No
CUST100089,Female,0,68,Month-to-month,No,Electronic check,79.91,5471.67,Yes
CUST100090,Female,1,65,One year,Fiber optic,Credit card,28.89,1923.42,Yes
CUST100091,Female,0,26,One year,DSL,Bank transfer,25.82,707.54,No
CUST100092,Female,0,10,One year,DSL,Credit card,57.22,582.07,Yes
CUST100093,Female,0,53,Month-to-month,Fiber optic,Credit card,92.07,4904.15,No
CUST100094,Female,0,59,One year,DSL,Bank transfer,75.48,4493.26,No
CUST100095,Female,0,22,Month-to-month,Fiber optic,Mailed check,62.29,1384.72,Yes
CUST100096,Female,0,51,Month-to-month,DSL,Mailed check,76.58,3900.75,Yes
CUST100097,Female,0,48,One year,DSL,Mailed check,56.55,2706.28,No
CUST100098,Female,0,21,Month-to-month,Fiber optic,Bank transfer,113.61,2365.82,Yes
CUST100099,Male,0,22,Month-to-month,No,Electronic check,25.49,591.06,Yes
CUST100100,Male,0,30,Two year,No,Bank transfer,87.34,2607.98,No
CUST100101,Female,1,25,Month-to-month,DSL,Credit card,109.13,2725.32,No
CUST100102,Female,1,28,One year,Fiber optic,Bank transfer,100.39,2811.77,Yes
CUST100103,Female,1,65,Month-to-month,DSL,Electronic check,38.4,2515.23,Yes
CUST100104,Female,1,45,One year,Fiber optic,Electronic check,49.59,2239.41,No
CUST100105,Female,0,68,Month-to-month,Fiber optic,Credit card,91.7,6262.83,No
CUST100106,Female,0,7,Month-to-month,No,Mailed check,28.43,182.9,No
CUST100107,Female,0,49,One year,No,Electronic check,101.19,4946.99,Yes
CUST100108,Female,0,9,Month-to-month,Fiber optic,Electronic check,91.89,841.95,No
CUST100109,Male,0,36,Month-to-month,Fiber optic,Electronic check,92.96,3350.15,No
CUST100110,Female,1,1,Month-to-month,No,Credit card,30.02,30.73,No
CUST100111,Male,0,10,Month-to-month,Fiber optic,Electronic check,91.78,902.49,No
CUST100112,Female,0,36,Month-to-month,DSL,Mailed check,87.98,3209.98,Yes
CUST100113,Female,0,46,Month-to-month,DSL,Credit card,103.09,4770.57,No
CUST100114,Male,0,32,Two year,Fiber optic,Mailed check,24.16,761.63,Yes
CUST100115,Female,0,32,Month-to-month,DSL,Electronic check,22.31,698.47,Yes
CUST100116,Male,0,6,Month-to-month,DSL,Electronic check,57.3,392.04,No
CUST100117,Female,1,48,Month-to-month,DSL,Mailed check,34.88,1701.92,No
CUST100118,Female,0,38,Month-to-month,Fiber optic,Credit card,75.84,2891.14,No
CUST100119,Male,0,17,Two year,DSL,Credit card,111.73,1928.53,No
CUST100120,Female,1,27,Month-to-month,DSL,Mailed check,59.15,1629.99,Yes
CUST100121,Male,1,54,Two year,DSL,Electronic check,104.5,5677.6,No
CUST100122,Female,1,50,Month-to-month,Fiber optic,Bank transfer,20.02,1014.45,Yes
CUST100123,Male,1,35,One year,No,Mailed check,36.85,1299.84,No
CUST100124,Male,0,25,Month-to-month,Fiber optic,Mailed check,23.04,556.77,Yes
CUST100125,Female,0,28,Two year,Fiber optic,Mailed check,52.81,1523.54,No
CUST100126,Female,0,15,Month-to-month,No,Electronic check,110.82,1684.53,Yes
CUST100127,Male,0,4,Month-to-month,DSL,Credit card,29.7,113.02,No
CUST100128,Female,0,27,Month-to-month,DSL,Electronic check,80.64,2221.65,No
CUST100129,Female,0,26,Month-to-month,DSL,Mailed check,65.15,1737.95,Yes
CUST100130,Female,0,19,Two year,DSL,Electronic check,113.85,2212.39,No
CUST100131,Male,0,17,Month-to-month,Fiber optic,Electronic check,32.25,589.43,No
CUST100132,Male,0,43,Month-to-month,No,Mailed check,41.2,1821.44,No
CUST100133,Male,0,41,One year,Fiber optic,Electronic check,22.95,938.08,No
CUST100134,Male,0,42,Month-to-month,Fiber optic,Bank transfer,63.39,2701.34,Yes
CUST100135,Male,0,50,Two year,No,Electronic check,47.78,2426.61,Yes
CUST100136,Male,1,40,One year,DSL,Electronic check,106.99,4275.77,Yes
CUST100137,Male,0,39,Month-to-month,DSL,Credit card,80.49,3126.0,Yes
CUST100138,Male,0,23,Two year,Fiber optic,Credit card,81.41,1920.99,Yes
CUST100139,Male,0,52,Month-to-month,Fiber optic,Mailed check,73.19,3806.6,No
CUST100140,Female,1,47,Month-to-month,DSL,Mailed check,29.19,1412.89,Yes
CUST100141,Male,0,63,Month-to-month,Fiber optic,Credit card,64.5,4043.79,Yes
CUST100142,Female,0,69,Month-to-month,Fiber optic,Bank transfer,119.95,8258.02,Yes
CUST100143,Female,0,43,One year,Fiber optic,Electronic check,103.52,4463.97,No
CUST100144,Female,0,48,Two year,Fiber optic,Bank transfer,109.35,5245.51,No
CUST100145,Male,1,34,Month-to-month,DSL,Bank transfer,102.32,3507.17,Yes
CUST100146,Male,0,40,Month-to-month,DSL,Credit card,30.3,1231.59,No
CUST100147,Male,0,61,Two year,Fiber optic,Mailed check,42.74,2592.56,Yes
CUST100148,Male,1,50,Month-to-month,DSL,Electronic check,20.31,1006.88,No
CUST100149,Female,1,67,Month-to-month,No,Mailed check,50.35,3380.61,No
CUST100150,Male,0,62,Month-to-month,Fiber optic,Bank transfer,30.86,1906.31,Yes
CUST100151,Male,1,58,Two year,DSL,Bank transfer,67.28,3937.7,No
CUST100152,Male,0,33,Month-to-month,Fiber optic,Mailed check,87.71,2903.55,No
CUST100153,Male,0,16,One year,Fiber optic,Mailed check,107.45,1705.74,Yes
CUST100154,Male,0,48,One year,DSL,Credit card,94.92,4570.06,No
CUST100155,Female,0,10,Month-to-month,Fiber optic,Mailed check,113.86,1124.96,Yes
CUST100156,Male,0,38,Month-to-month,No,Mailed check,25.39,953.85,Yes
CUST100157,Female,1,19,One year,Fiber optic,Credit card,21.22,399.95,Yes
CUST100158,Male,1,36,Month-to-month,DSL,Mailed check,86.13,3140.85,Yes
CUST100159,Female,0,59,One year,Fiber optic,Bank transfer,48.94,2932.18,Yes
